lie ,いる、ある 
humor,ユーモア
joke,冗談を言う
contruct,建設する
straight,まっすぐな
assist,手伝う
respect,尊敬する
quarrel,口論・口論する
ignore,無視する
create,創造する
creative,創造的な
spiritual,精神の
spirit,精神
inspiration,突然のひらめき
inspire,やる気にさせる
artist,芸術家
society,社会
social,社会的な
sociologist,社会学者
suicide,自殺
stress,ストレス
lack,不足・欠けている
separate,分離する
divide,分割する
urgent,緊急の
contribute,貢献する
birth,出産
population,人口
generation,世代
youth,青年時代
neighbor,近所の人
neighborhood,近所
birthrate,出生率
disorder,混乱
nurse,障害
nursing home,看護師・看護する
nursery,老人ホーム
educate,教育する
acquire,獲得する
acquisition,獲得・買収
learning process,学習過程
solve,解く
problem-solving skills,問題解決能力
solution,解決策
active,活発な
aggressive,攻撃的な
capacity,能力
personality,個性・性格
tease,からかう
bully,いじめる・いじめっ子
curious,好奇心が強い
infant,乳児
elementary,初歩の
preschool,就学前の・幼稚園
reform,改革する
mature,成熟した
wisdom,知恵
smart,賢い
bright,明るい・頭がいい
law,法
lawyer,弁護士
legal,法律の
judge,判断する
innocent,無罪の
rule,ルール・規則
principle,原則
labor,労働
manual,手の・肉体の
manufacture,製造する
industry,業界・産業
convey,運ぶ
hire,（有料で）借りる・雇う
employ,雇う
employer,雇用者
employee,従業員
foundation,土台
found,設立する
establish,設立する
operation,営業・手術
operate,操作する
organize,組織する
goods,商品
consultant,コンサルタント
duty,義務・職務
retire,引退する
status,地位
risk,危険
punctual,時間を守る
expand,拡大する
extension,拡張
extend,延長する
extra,余分の
element,要素
headquarters,本部
branch,支店
part-time,パートタイムの・パートタイムで
full-time,フルタイムの・フルタイムで
coworker,同僚
secretary,秘書
task,仕事
skill,技術
priority,優先事項
conference,会議
evaluate,評価する
feedback,意見
schedule,予定する
world,世間
literature,文学
library,書斎・蔵書
encyclopedia,百科事典
biography,伝記
bio,伝記
document,書類
metaphor,比喩
review,批評
refer,言及する
script,手書き・脚本
director,監督
role,役割
broadcast,放送する
site,場所
frontier,国境・最先端
division,分割
continent,大陸
broad,広い
ceiling,天井
empty,空っぽの
digest,消化する
brush,磨く
sink,沈む・流し
alcohol,アルコール
bitter,苦い
domestic,家庭の・国内の
violence,暴力
violent,暴力的な
divorce,離婚
similar,似ている
surname,名字
childcare,育児
relative,相対的な・親族
transport,輸送する
vehicle,車
subway,地下鉄
license,免許
delay,遅れ・遅らせる
announce,発表する
source,源
truth,真実
fake,偽りの
scientific,科学的な
experiment,実験
material,材料・原料
substance,物質
liquid,液体
burn,燃やす
boil,ゆでる・沸騰する
freeze,凍る
environment,環境
protect,保護する
protection,保護
pollution,汚染
plant,工場・植える
pick,つまむ・摘み取る
global,地球規模の
globe,地球
oxygen,酸素
carbon dioxide,二酸化炭素
absorb,吸収する
pole,極
collect,集める
garbage,ゴミ
trash,ゴミ
waste,浪費
wasteful,無駄の多い
energy,エネルギー
resource,資源
fuel,燃料
fossil,化石
shortage,不足
solar,太陽の
radiation,放射能
ecology,生態系
eco-friendly,環境にやささいい
reduce,減らす
reuse,再利用する・再利用
recycle,再利用する
phenomenon,現象
scene,場面
shine,輝く
disaster,災害
typhoon,台風
earthquake,地震
cultivate,耕す
temparature,温度
climinate,気候
mild,穏やかな
tropical,熱帯の
acid rain,酸性雨
universe,宇宙
atmosphere,雰囲気
explore,探検する
gravity,重力
revolve,回転する
revolution,革命
involve,巻き込む
mystery,謎
remove,取り除く
removal,除去
spacecraft,宇宙船
astronaut,宇宙飛行士
astronomer,天文学者
Mars,火星
origin,起源
ancestor,先祖
human,人間の・人間
humanity,人間性
species,（生物の）種
instinct,本能
wild,野生の
rare,珍しい
bull,牛
cow,牛
cattle,牛
insect,昆虫
mosquito,蚊
dolphin,イルカ
mammal,哺乳類
pinpoint,正確に把握する
tail,しっぽ
medical,医学の、医療の
medicine,薬
medication,薬
treatment,治療
therapy,治療
heal,治す
tablet,錠剤・タブレット端末
virus,ウイルス
vaccine,ワクチン
physical,体の、物質的な
physician,内科医
surgeon,外科医
surgery,外科（手術）
donor,寄贈者・臓器提供者
donate,寄付する
advanced,進歩した
whole,全体の
wholesome,健全な
cancer,ガン
brain,脳
syndrome,症候群
fat,太った
obesity,肥満
overweight,肥満・太り過ぎの
soft drink,清涼飲料水
exercise,運動する
thin,やせた
thick,厚い・濃い
Internet,インターネット
text,（スマホでメッセージを）送る・本文
picture,心に描く
reply,返信する
reputation,評判
connect,つなぐ
add,加える
device,装置
access,接近・利用
accessible,アクセスできる
ship,発送する
function,機能
memory,記憶
artificial,人口の
intelligence,知能
medium,中間・手段
google,インターネット検索する
call phone,携帯電話
smartphone,スマホ
app,アプリ
social media,ソーシャルメディア
social networking service,ソーシャルネットワーキングサービス
entry,入ること
tweet,ツイートする
Instagram,インスタグラム
GPS,全地球測位システム、GPS
type,文字を打つ・型
surf,ネットサーフィンをする
block,ふさぐ
screen,画面
layout,配置・レイアウト
online,オンライン上の・オンライン上で
offline,オフライン上の・オフライン上で
harmful,有害な
influence,影響
immediate,即座の
wireless,無線の
driverless car,無人自動車
automation,自動化
duck face,アヒル口
real,現実の
normal,普通の
abnormal,異常な
huge,巨大な
tiny,とても小さな
obvious,明らかな
sudden,急な
rapid,急速な
extreme,極端な
general,全体的な・一般的な
detail,詳細
firm,堅い・会社
vivid,鮮やかな
constant,絶え間ない
amount,量
quarter,４分の１・１５分
decade,１０年
basis,基礎
couple,１組
vast,広大な・莫大な
triangle,三角形
fashion,流行
air,様子・放送する
attention,注意・世話
fruit,成果
fast,しっかりと
gift,才能
just,ちょうど・ただ～だけ
life,生命・生物
people,国民
place,置く・注文する
point,要点・指さす
stage,段階
room,空間・余地
story,階
patient,我慢強い・患者
pay,割に合う
time,時代・回、倍
back,背中
being,存在
break,壊す・休憩
bar,妨げる
case,真実
content,内容
end,目的
fair,公平な
forward,前へ
game,ゲーム
key,秘訣
last,続く
reason,理性
rest,休息・残り
soul,魂
spring,泉
store,蓄え・蓄える
swallow,飲み込む
meet,満たす
nature,本質
natural,当然の
note,メモ
odd,奇妙な
train,連続
word,約束
hand,渡す
rock,揺らす
company,仲間・いっしょにいること
control,抑える
fine,細かい・罰金・罰金を科す
period,期間
realize,実現する・理解する
run,経営する
service,乗り物の便
party,一行・政党
way,方法・点
work,作品・機能する
arrange,きちんと並べる
direction,方向
cover,取材する
sense,感覚・意味
sign,目印・合図・兆候
survive,より長生きする
maintain,維持する
matter,重要である
observe,守る・観察する
term,期間・用語・間柄
capital,首都
charge,請求する・手数料
state,状態
line,手紙
manner,方法
minute,細かい
order,順序・命令・注文
onion,玉ねぎ
oven,オーブン
glove,手袋
dozen,１ダース
comfort,快適さ
image,イメージ
tunnel,トンネル
woman,女性
wool,羊毛
hood,フード
major,主要な
ancient,古代の
Asia,アジア
great,素晴らしい
steak,ステーキ
apron,エプロン
ghost,幽霊
guide,案内する・案内者
height,高さ
FALSE,誤った
daughter,娘
son,息子
front,前面
tongue,舌・言語
wonder,不思議に思う
dove,鳩
other,ほかの
blood,血液
flood,洪水
breakfast,朝食
sweat,汗
sweater,セーター
head,あたま
weather,天気
heaven,天国
death,死
health,健康
treasure,宝物
weapon,武器
threat,脅威
pleasure,楽しみ
pleasant,楽しい
feather,羽根
jealous,嫉妬して
breast,胸
leather,革
drown,溺死する
crowd,人混み・場所に群がる
owl,フクロウ
brow,まゆ
bowl,ボウル
blow,吹く
crow,カラス
row,列
tough,丈夫な
rough,荒い
trouble,苦労
cousin,いとこ
laundry,洗濯物
aunt,おば
gauge,尺度
exact,正確な
experience,経験
bury,埋める
worm,虫
earn,稼ぐ
earth,地球
heart,心・心臓
bread,あごひげ
dear,親愛なる
tear[tɪ́ər],涙
tear[téər],引き裂く
crew,乗組員
sour,酸っぱい
cough,咳・咳をする
guard,警備員・守る
regular,定期的な
wrap,包む
column,コラム
debt,借金
bath,入浴
bathe,入浴する
breath,呼吸
breathe,呼吸する
smooth,なめらかな
method,方法
mathematics,数学
arithmetic,算数
chill,冷やす・冷たさ
chore,雑用
chimney,煙突
cheer,元気づける
chase,追いかける
chew,噛む
chorus,合唱
scholar,学者
psychology,心理（学）
orchestra,オーケストラ
loose,緩い
precise,正確な
possess,所有している
scissors,はさみ
muscle,筋肉
close[klóuz],閉める
close[klóus],近い
pressure,圧力
passion,情熱
mission,使命
leisure,余暇
casual,打ち解けた
vision,視力・展望
visual,視覚の
import,輸入（品）・輸入する
export,輸出（品）・輸出する
conduct,行為・行う
produce,農産物・生産する
protest,抗議・抗議する
project,事業・計画する
challenge,やりがい
challenging,やりがいのある
interview,面接・面接する
comment,論評・批評する
support,支持・支える
exit,出口・退出する
display,展示・展示する
calendar,予定
European,ヨーロッパの
violin,バイオリン
kangaroo,カンガルー
volunteer,ボランティア
umbrella,傘
racket,ラケット
coffee,コーヒー
pattern,パターン
volume,量・一巻
standard,標準
modern,現代の
private,個人的な
career,経歴
elite,エリート
technique,技術
technology,科学技術
remote,遠く離れた
barometer,バロメーター
ceremony,式
horizon,水平線・地平線
accept,受け入れる
acceptance,受け入れ
destroy,破壊する
committee,委員会
surface,表面
routine,決まり切った仕事
severe,厳しい
canal,運河
absurd,馬鹿げた
descendant,子孫
advertisement,広告
marvelous,すばらしい
product,製品
release,解放する
purchase,購入・購入する
target,対象にする・目標
mark,祝う
promote,促進する
market,市場に出す
priceless,とても貴重な
shave,（髭を）そる
hang,かける
shut,閉める
plug,電源に差し込む
tie,結ぶ
polish,磨く
hide,隠す
adjust,調節する
occupy,占める
sight,目にすること
choose,選ぶ
select,選ぶ
option,選択肢
obtain,得る
gain,得る
repair,修理する
fix,修理する
reality,現実
actual,実際の
illusion,錯覚
fantasy,空想
fault,責任
responsibility,責任
wake,目を覚ます
feet,フィート
heavy,重い
peel,皮をむく
paint,描く
clean,掃除する
wash,洗う
hungry,空腹の
careful,注意深い
counsel,助言する
counselor,カウンセラー
gymnasium,体育館
academic,学問の
clerk,事務員
manager,経営者・部長
reporter,リポーター
coach,コーチ
chef,シェフ
florist,花屋
Picasso,ピカソ
Van Gogh,ゴッホ
win,勝つ・勝ち取る
Nobel Prize,ノーベル賞
elect,選ぶ
election,選挙
vote,投票する・投票
poll,世論調査
trend,傾向
current,現在の
appeal,うったえる
dirty,汚い
candidate,候補者
poor,貧しい・下手な
poverty,貧困
starve,飢える
hunger,空腹
drink,酒を飲む
drunk,酒に酔った
missing,行くへ不明の
develop,発達する・発達させる
foreign,外国の
security,安全
secure,安全な・確保する
terrorism,テロ行為
crisis,危機
caution,用心
crime,犯罪
thief,泥棒
prison,刑務所
penalty,罰
guilty,有罪の
burglar,強盗
favorite,一番好きな
spare,余分の
fond,好んでいる
hobby,趣味
knit,編み物をする
star,主演する
charismatic,カリスマ的な
hairdresser,美容師
fan,ファン
fanatic,ファン
fun,楽しみ
introduce,紹介する
instrument,道具・楽器
particular,特定の・好みがうるさい
philosophy,哲学
resident,住人
sort,種類
like,好む
do,間に合う
excuse,許す・言い訳
convenience,便利
moment,瞬間
call,呼ぶ
again,もう一度
right,正しい
beg,懇願する・許すこと
beggar,物乞い
serious,深刻な
shame,残念なこと
pity,残念なこと
relief,安心
favor,好意
frank,率直な
ride,乗る・乗ること
catch,捕まえる
save,救う・蓄える
deep,深い
wet,濡れた
condition,状態・条件
circumstance,状況
pronounce,発音する
welcome,歓迎する
sharp,鋭い
plain,質素な
simple,単純な
sweet,やさしい
soon,まもなく
misunderstand,誤解する
recognize,識別できる
air-conditioner,エアコン
build,建てる・築く
care,注意・気遣う
pretty,かわいい・かなりの
ready,準備ができた
encounter,出くわす・出会い
male,男性の
female,女性の
habit,習慣
relax,くつろぐ
polite,丁寧な
familiar,良く知っている
formal,正式の
relationship,関係
magazine,雑誌
popular,人気のある
low,低い
dark,暗い
light,明るい
outside,外へ・外は
inside,内側に
hour,時間
second,秒
cheap,安い
expensive,高価な
thirsty,のどが渇いた
special,特別な
wide,広い
narrow,狭い
together,一緒に
gather,集まる
wear,身に着けている
tight,しっかりした
the tea ceremony,茶道
cherry blossoms,サクラの花
garden,庭園
flower arrangement,生け花
calligraphy,書道
craft,工芸品
postcard,はがき
festival,まつり
sculpture,彫刻
fireworks,花火
lantern,ちょうちん
parade,行進
kite,凧
season,季節
volcano,火山
lake,湖
prefecture,県
soybean,大豆
tuna,マグロ
soup,スープ
goddess,女神
temple,お寺
shrine,神社
torii,鳥居
sacred,神聖な
Buddha,仏陀
Buddhism,仏教
Budddhist,仏教徒・仏教の
Christianity,キリスト教
sect,宗派
structure,建物
evil,悪・悪い
historical,歴史的な
heritage,遺産
martial,軍隊の
emperor,天皇
imperial,皇帝の・天皇の
palace,宮殿
bomb,爆弾
restoration,復活
Olympic,オリンピック競技の
hospitality,おもてなし
use,使う
mean,意味する
agree,賛成する
obey,従う
opinion,意見
viewpoint,立場
quite,完全に
maybe,もしかしたら
probable,ありそうな
probably,たぶん
anyway,とにかく
strict,きびしい
nervous,緊張して
shy,はずかしがりの
excellent,すばらしい
generous,気前のよい
gentle,やさしい
trip,外出
sightseeing,観光
reservation,予約
reserve,予約する
book,予約する
destination,目的地
vacation,休暇
brief,短い
meaningful,意味のある
customs officer,税関の係員
strange,見知らぬ
stranger,見知らぬ人
change,小銭・釣銭
architecture,建築
public,公の・一般の人
official,公の
museum price,博物館
gate,値段
tour,門
tour,見学・見学する
tourist,旅行者
include,含む
exclude,除外する
holiday,休日
holy,神聖な
aircraft,航空機
aisle,通路
blanket,毛布
step,歩み
park,公園・駐車する
lot,一区画
sidewalk,歩道
intersection,交差点
plate,さら
discount,割引
pull,引く
press,押す
push,押す
bake,焼く
baker,パン屋
bakery,パン屋
delicious,とてもおいしい
uniform,制服
dentist,歯医者
ache,痛み・痛む
stomach,胃・お腹
fever,熱
pain,苦痛
hay,干し草
influenza,インフルエンザ
disease,病気
nowadays,最近
recently,最近
difficulty,困難
problem,問題
quote,引用する
same,同じ・同じこと
reconsider,再考する
strong,強い
wrong,間違った・正常でない
defferent,異なった
unique,独特な
necessary,必要な
famous,有名な
secret,秘訣
effective,効果的な
logic,論理
define,定義する
definition,定義
theory,理論
scope,範囲
enroll,登録する・入学する
drop,落ちる・やめる
scholarship,奨学金
grade,成績
graduate,卒業する
undergraduate,学部生
theme,テーマ
debate,議論
summary,要約
letter,文字
blank,空白の・空白
throw,投げる
locally,地元で
originally,本来は
traditional,伝統的な
urban,都市の・都会の
rural,田舎の
suburb,公害
liberty,自由
situation,状況
inevitable,避けられない
hospital,病院
bank,銀行・土手
playground,運動場
bridge,橋
farm,農場
hill,丘
church,教会
village,村
forest,森
wood,木
airport,空港
theater,劇場
university,大学
floor,床
garage,車庫
cafeteria,食堂
doctor,医者
husband,夫
wife,妻
diary,日記
chopsticks,箸
stapler,ホチキス
envelope,封筒
stamp,切手
dictionary,辞書
socks,靴下
ice,氷
aquarium,水族館
planetarium,プラネタリウム
act,行動する
actor,俳優
actress,女優
assistant,アシスタント
professor,教授
examination,試験
examine,調べる
succeed,成功する
attitude,態度
prepare,準備する
cloth,布
clothes,衣服
event,出来事
ring,電話をかけること
purse,財布
wallet,財布
package,小包
electicity,電気
advantage,利点
distance,距離
distant,遠い
emergency,緊急事態
emotion,感情
variety,変化
vary,変化する
attack,襲う
bear,耐える
carry,運ぶ
climb,登
continue,続く・続ける
discover,発見する
fight,戦う
flow,流れる
invite,招待する
invent,発明する
invention,発明
lose,なくす
rescue,救う・救出
improve,改善する
spread,広がる
hold,持つ
receive,受け取る
scream,叫び声をあげる
recover,回復する
repeat,繰り返す
trust,信頼する
publish,出版する
guess,推測する
surround,取り囲む
surroundings,環境
perform,行う
performance,遂行・実行・実績
complete,完全な
TRUE,真実の
comfortable,快適な
concrete,具体的な
abstract,抽象的な
confident,自信がある
ideal,理想的な
long,切望する
equal,等しい
equality,平等
direct,直接の
correct,正しい・訂正する
unfortunately,残念なことに
