vital,非常に重要な・生命の
constitution,構成・組織・憲法
institute,制定する・協会・研究所
institution,制度・施設
substitute A for B,Bの代わりにAで代用する
substitution,代理
stable,安定した
stability,安定性
stabilize,を安定させる
establish,を設立する・確立する
establishment,設立・確立
subject,主題・家来・被験者・従属している
subjective,主観的な
subdue,を征服する・支配する
submit,を服従させる・を提出する
submission,服従・提出
submissive,服従した
substance,物質・実体
substancial,確固たる
fundamental,根本的な・基礎的な
fund,基金
found,を設立する
foundation,基礎
profound,深い
be based on,に基づいている
basis,基礎
on the basis of,に基づいて
ground,地面・根拠
on the ground that,という理由で
superficial,うわべの
shallow,浅い
superb,すばらしい
supervise,を監視する
superstition,迷信
superstitious,迷信深い
core,中心
surface,表面
internal,内面の
external,外側の
concentrate,集中する
compose,を構成する・作曲作文する
composition,構成・作文
be composed of,から成る
compose oneself,心を落ち着かせる
consist,から成る・存在する
consistent,一貫した・一致する
consistency,一貫性・一致
inconsistent,一貫性のない・矛盾した
organize,を組織する
organization,組織
elementary,初歩的な
component,構成要素
compound,混合物・を混合する
complex,複雑な・集合体
complexity,複雑さ
complicated,複雑な
be subject to A,Aに従属している
a subject for/of A,Aの対象
submit oneself to A,Aに服従する
on a daily basis,日常的に
on a regular basis,定期的に
consist of A,Aから成る
consist in A,Aの中に存在する
be compounded of A,Aから成る
reveal,を明らかにする
revelation,暴露
conceal,を隠す
expose A to B,AをBにさらす
exposure,さらすこと
impose A on B,AをBに課す
divide A into B,AをBに分割する
division,分割
diffuse,をまき散らす・拡散する
diffusion,分散・拡散
scatter,をまき散らす
spread,広がる
widespread,広く普及した・広範囲の
bend,を曲げる
be bent on,しようと決意している・に熱中している
incline,を傾ける
be inclined to do,したい気がする
inclination,傾向
lean on [against],～にもたれる
erect,建てる・直立した
erection,直立・建設
emit,放出する
emission,放出
absorb,を吸収する・理解する
be absorbed in,に熱中している
absorption,吸収・熱中
attract,を惹きつける
attractive,魅力的な
attraction,魅力・呼び物
extract,を抜き出す
aim,目標・狙う
penetrate,を貫通する
penetration,貫通
thrust,押しつける・突き刺す
insert A into B,AをBに挿入する
insertion,挿入
grasp,を掴む・理解する
grab,を掴む
seize,を掴む
drag,を引きずる
cling,しがみつく・固執する
stick,棒・くっつく
stuck,動けない
attach,をくっつける・愛着を持たせる
attachment,付着・愛着
detach,を切り離す
imitate,を真似る
imitation,真似
fold,を折り畳む
unfold,を広げる
tear,を引き裂く
mold,をかたどる・形成する
distort,を歪める
distortion,歪み
expand,拡大する
expansion,拡大
shrink,縮む
swell,膨らむ
assemble,を集める・組み立てる
assembly,集会・組み立て
collect,を集める
collection,収集
collective,集団の
cram,を詰め込む
rotate,回転する
rotation,回転
twist,をひねる
upset,動揺させる・動揺した
stir,をかき回す・騒乱
explode,爆発する
explosion,爆発
explosive,爆発物
burst,爆発する
melt,溶ける
string,糸
restrict A to B,AをBに制限する
restriction,制限
strict,厳しい・厳密な
strictly,厳密に
distrss,苦悩
strain,緊張・品種
restrain,を抑制する
restraint,抑制
tense,緊張した
tension,緊張
extend,を延長する
extensive,広範囲の
extension,延長
intense,激しい
intensive,集中的な
intensity,強烈さ
intensify,を強める
force,力・強制する
enforce,を施行する
reinforce,を強化する
compel,強いる
compulsion,強制
compulsory,強制的な・義務的な
compulsive,強制的な
oblige,義務付ける
obligation,義務・感謝
obligatory,義務的な・強制的な
voluntary,自発的な
volunteer,ボランティア・申し出る
spontaneous,自発的な
spontaneously,自発的に
spontaneity,自発性
free,自由な・無料の・暇な
free of,を免除されている
for free,無料で
freedom,自由
liberty,自由
liberate,を解放する
liberal,自由主義の
release,を解放する
capture,を捕らえる
captive,とらわれた・捕虜
captivity,とらわれの身
prohibit,を禁じる
prohibition,禁止
forbit,を禁じる
ban,を禁止する
permit,に許可する
permission,許可
allow,が～するのを許す
allowance,お小遣い
forgive,を許す
overlook,を大目に見る・を見落とす
generous,寛容な
generosity,寛容
tolerate,を容認する
tolerant,容認する(形)
tolerance,寛容
tolerable,許容できる・かなりの
intolerant,不寛容な
force A to do,Aに～することを強制する
force A on B,AをBに押し付ける
be compeled to do,～せざるを得ない
be obliged to do,～せざるを得ない
be obliged to A for B,AにBを感謝している
be free to do,自由に～する
free of charge,無料の
at liberty,自由に
permit A to do,Aが～するのを許可する
allow A to do,Aが～するのを許可する
allow for A,Aを考慮する
be tolerant of A,Aを容認する
melt,溶ける
prevent,を妨げる・防ぐ
prevention,妨害・予防
avoid (doing),を避ける
unavoidable,避けられない
hinder,を妨げる
refrain from doing,～するのを差し控える
interrupt,を邪魔する
interruption,邪魔
disrupt,を乱す
disturb,を妨げる
disturbance,妨害
interfere with A,Aに干渉する
interference,干渉
cease doing/to do,～するのをやめる
halt,を停止する
come to a halt,停止する
deprive A of B,AからBを奪う
rob A of B,AからBを奪う
robbery,強奪
robber,強盗
strip A of B,AからBをはぎ取る
remove A from B,BからAを取り除く
removal,除去
eliminate,を取り除く
elimination,除去
get rid of,を処分する
dispose of,を処分する
disposal,処分
disposable,使い捨ての
do away with,を捨てる
discard,を捨てる
abandon,を捨てる
desert,見捨てる・砂漠
provide A with B,AにBを供給する
provision,備え・配給
provided that,～であれば
supply A with B,AにBを供給する
offer,を提供する・申し出る
furnish,に備え付ける
furniture,家具
equip,に装備する
equipment,装備
promote,を促進する・昇進させる
promotion,促進・昇進
enhance,を高める
accelerate,を加速する
boost,を促進する
urge,にせき立てる・衝動
urgent,緊急の
urgency,緊急性
encourage A to do,Aに～するよう励ます
encouragement,激励
courage,勇気
discourage,落胆させる
provide for,を扶養する・に備える
prevent A from ing,Aが～するのを妨げる
at A's disposal,Aの自由になる
provide B for/to A,AにBを供給する
supply B for/to A,AにBを供給する
get promoted,昇進する
urge A to do,Aに～するように急き立てる
on urgent business,急用で
have the courage to do,～する勇気を持つ
be compeled to do,～せざるを得ない
be obliged to do,～せざるを得ない
be obliged to A for B,AにBを感謝している
be free to do,自由に～する
free of charge,無料の
at liberty,自由に
permit A to do,Aが～するのを許可する
allow A to do,Aが～するのを許可する
allow for A,Aを考慮する
be tolerant of A,Aを容認する
melt,溶ける
project,企画・見積もる・投影する
enterprise,事業・企業
scheme,計画
attempt,試み・を試みる
purpose,目的
with the purpose of,～する目的で
for the porpose of,～する目的で
on purpose,故意に
intention,意図
intend to do,～しようと意図する
intentionally,意図的に
destination,目的地
destiny,運命
be destined to do,～する運命にある
ideal,理想・理想的な
idealistic,理想主義の
practical,実用的な
practically,ほとんど・実用的に
real,現実の
reality,現実
realize,を理解する・実現する
realization,理解・実現
realistic,現実的な
fantasy,空想
fancy,空想・を想像する・高級な
illusion,錯覚
disillusion,を幻滅させる
imagine,を想像する
imagination,想像・想像力
imaginary,想像上の
imaginative,想像力に富んだ
task,仕事
undertake,を引き受ける
launch,を始める・発射する
embark,着手する
hesitate,ためらう
hesitant,躊躇している
hesitation,躊躇
pursue,を追い求める
pursuit,追求
seek,を探し求める
strive,努力する
assign AB/B to A,AにBを割り当てる・課す
assignment,課題
allot A to B,BにAを割り当てる
in charge of,を担当して
be responsible for A,Aに対して責任がある
responsibility,責任
irresponsible,無責任な
execute,を実行する・処刑する
execution,実行・処刑
executive,重役
perform,を実行する・演じる
performance,実行・業績・演技
carry out,を実行する
obstacle,障害物
adverse,不利な
adversity,逆境
adversary,敵・敵の
hardship,苦難
burden,重荷
overcome,を克服する
cope with,に対処する
tackle,に取り組む
talent,才能
gift,贈り物・才能
gifted,才能のある
ability,能力
skill,技術・能力
skillful,熟達した
capable,能力がある
capability,能力
incapable,能力がない
capacity,能力・受け入れる能力
potential,潜在能力・潜在的に可能な
effort,努力
struggle,奮闘する
endeavor,試み・努力する
persist,ねばる・しつこく主張する
persistent,ねばり強い
persistence,ねばり強さ
persevere,ねばる
perseverance,ねばり強さ
efficient,効率的な
efficiency,効率
deficient,欠陥のある
fulfill,を果たす
fulfillment,達成
attain,を達成する
attainment,達成
achieve,を達成する
achievement,達成・業績
accomplish,を成し遂げる
accomplishment,完成・業績
obtain,を手に入れる
gain,を得る・増す
regain,を取り戻す
acquire,を獲得する・習得する
acquisition,獲得・習得
complete,を完了する・完成した
completion,完成・完了
completely,完全に
in reality,現実には
seek to do,～しようとする
temporary,"一時的な,仮の"
contemporary,"同時代の,現代の"
permanent,永続する
eternal,"永久の,永遠の"
eternity,"永久,永遠"
rare,"まれな,めったにない"
rarely,めったに...ない
once in a while,たまに
occasion,"機会,場合,出来事"
occasional,時折の
occasionally,時々
now and then,時々
frequent,度々の
frequency,頻度;周波数
frequently,"頻繁に,度々"
constant,"絶え間ない,一定の"
constantly,絶えず
perpetual,"絶え間ない,永久の"
at the moment,今のところは
at present,今のところは
for the time being,ここしばらくは
rapid,急速な
rapidly,急速に
immediate,即座の;直接の
immediately,ただちに;直接に
prompt,"即座の;素早い/~を促す,刺激する"
promptly,即座に
abruptly,"不意に,突然"
period,期間;時代;時限
age,年齢/時代
come of age,成人になる
epoch,"新時代,時代の幕開け"
phase,"局面,面,段階"
decade,10年
annual,"毎年の,年に１回の"
annually,"毎年,年に１回"
anniversary,記念日
interval,間隔
origin,"起源,出生"
original,"独自の,本来の"
initial,起こる
initially,最初の
former,最初は
formerly,"以前の,前者の"
previous,前の
previously,以前に
precede,~より先行する
precedent,前例
unprecedented,前例のない
posterior,後の
prior,前の
priority,"優先,優先事項"
advance,"前進する,進歩する/進歩"
simultaneous,"同時の,同時に起こる"
coincide,"同時の起こる,一致する"
coincidence,偶然の一致
prolong,延長する
postpone,延期する
delay,~を遅らせる/遅延
punctual,時間に正確な
current,今の;流通している/流れ
out of date,時代遅れの
up to date,最新の
ancient,"古代の,大昔の"
ancestor,先祖
primitive,"原始的な,未開の,野蛮な"
invest,を投資する
income tax,所得税
well off,裕福な
property,財産・特性
capital punishment,死刑
withdrawal,引き出すこと・退くこと
withdraw,を引き出す・退く
afford,余裕がある
profitable,有益な
fee,謝礼
thrifty,質素な・倹約をする
fare,運賃
fortune,財産・運
avail oneself of A,Aを利用する
owe,借りている
stingy,けちな
purchase,を購入する
at the expense of,を犠牲にして
finance,財政
available,入手できる・利用できる
investment,投資
benefit,利益
save money,貯金する
economical,経済的な
benefit from A,Aから利益を得る
wealthy,裕福な
disinterested,公平な
depression,不況・鬱
outgo,支出
revenue,歳入
owe B to A,AにBを借りている
outcome,結果
fortunately,幸運にも
the cost of living,生活費
charge,非難・料金・責任
financial,財政の
fortunate,幸運な
expense,出費
bankruptcy,倒産
debt,借金
capital,資本・首都・大文字
deposit,貯金・埋蔵物
income,収入
budget deficit,財政赤字
economic,経済の
save,を貯める・省く・救う
capitalism,資本主義
beneficial,有益な
be in debt,借金をしている
unfortunate,不運な
per capita,一人当たりの
recede,後退する
go bankrupt,倒産する
owe A B,AにBを借りている
real estate,不動産
currency,通貨・普及
interest,興味・利益
stock,在庫・株
avail,役立つ・効果
asset,財産　
unfortunately,不運にも
recession,不況
without avail,無駄な
depressed,鬱の
budget,予算
bankrupt,倒産した
extravagant,金遣いの荒い・過度の
economics,経済学
wealth,富
estate,財産　
cost,費用
spare,をとっておく・なしで済ませる・予備の
poverty,貧困
economy,経済
profit,利益
area,地域
region,地域
regional,地域の
district,地区
quarter,４分の１・地域
local,地元の・地元の人
global,地球全体の
globe,地球　
globalization,グローバル化
urban,都市の
rural,田舎の
suburb,郊外
border,境界・国境
pioneer,先駆者
explore,を探索する
exploration,探索
include,を含む
inclusion,包含
contain,を含む
content,中身・満足して
contentment,満足
exclude A from B,BからAを除外する
exclusive,排他的な・独占的な
exclusively,もっぱら
isolate,を隔離する
isolation,隔離
enclose,を囲む・同封する
disclose,を開示する・暴く
disclosure,暴露
surround,を取り囲む
surrounding,環境
install,を設置する
installation,設置
introduction,紹介・導入
locate,を突き止める・置く
location,位置
spot,場所・を見つける
search,の中を探す・探究
approach A,Aに接近する
remote,遠方の・へんぴな
apart,離れて
apart from,はさておき・から離れて
aside,脇に
aside from,はさておき　
replacement,置き換え
site,用地
realm,領域
domain,領域
range,範囲
scope,範囲・機会
category,範疇
margin,余白
marginal,余白の・重要でない
on the spot,その場で・直ちに
marginalize,を軽視する
in the suburbs,郊外に
be content with A,Aに満足する
to one's heart's content,心ゆくまで
introduce A to B,AをBに紹介する
introduce A into B,AをBに導入する
search A for B,Aの中でBを探す
put A aside,Aをわきに置く
replace A,にとって代わる
replace A with B,AをBと取り換える
out of range,射程範囲外の
emerge,現れる
emergence,出現
emergency,緊急事態
arise,生じる
stem,生じる・茎
branch,枝・支店
derive,由来する・を引き出す
derivation,由来
generate,を生み出す
generation,世代・発生
flourish,繁栄する
bloom,咲く
blossom,花
prosper,繁栄する
prosperous,繁栄した
prosperity,繁栄
thrive,繁栄する
prevail,普及する・圧倒する
prevalent,普及している
glory,栄光
glorious,栄光ある
victory,勝利
victorious,勝利した
triumph,勝利する
triumphant,勝ち誇った
fame,名声
prestige,名声
prestigious,一流の
fade,衰退する
decline,衰退する・断る
corrupt,腐敗した・を堕落させる
corruption,腐敗
decay,腐敗する・腐敗
rot,腐敗する
rotten,腐った
bribe,賄賂
perish,死ぬ
vanish,消滅する
ruin,台無しにする・廃墟
collapse,崩壊する
extinguish,を消す・を絶滅させる
extinct,絶滅した
extinction,絶滅
catastrophe,大惨事
survive A,A を生き残る・より長生きする
survival,生存
derive from A,Aに由来する
be derived from A,Aに由来する
derive A from B,AからBを引き出す
be in full bloom,満開である
cherry blossoms,桜の花
regard,をみなす・尊重する・点
regard A as C,AをCとみなす
in this regard,この点で
with regard to,に関して
regarding,に関する
without regard to,におかまいなく
regardless of,に関係なく
disregard,を無視する
account,説明・口座・重要性
account for A,Aを説明する・Aを占める
a bank account,銀行口座
on account of,という理由で
take ～ into account,を考慮に入れる
accountable,説明できる・責任がある
concern,関係・心配
express concern about A,Aについて懸念を表明する
be concerned with A,Aと関係している
be concerned about A,Aを心配している
as far as A is concerned,Aに関する限りは
people concerned,関係者
concerning,に関する
anxious,心配している・切望している
be anxious about A,Aを心配している
be anxious for A,Aを切望している
anxiety,心配・切望
attend,に出席する・注意して聞く・看護する
attend A,Aに出席する
attend to A,Aに注意する
attention,注意
attentive,注意している
attendance,出席・世話
attendant,世話人・付随する
apply,を応用する・に応募する
apply A to B,AをBに応用する
apply for A,Aに応募する
apply to A,Aにあてはまる・Aに申し込む
application,応用・応募
applicant,応募者
reflect,反映する・熟考する
reflection,反映・熟考
wait,待つ・仕える
wait for A,Aを待つ
cannot wait to do,～するのが待ちきれない
wait on A,Aに仕える
due,しかるべき・期限の
due to,が原因で
duly,正当に
odd,奇妙な・半端な・奇数の
odds,見込み
The odds are that …,たぶん…だろう
at odds with,と不和で
against all odds,予想を裏切って
issue,問題・号・発行する
at issue,争点となっている
term,用語・期間・関係・折り合い
in terms of,の観点から
on good terms with,と仲がいい
come to terms with,を諦めて受け入れる
figure,姿・人物・数字・考える
figure out,を理解する・計算する
cut a ～ figure,という印象を与える
state,州・国家・状態・を述べる
stetement,発言
statesman,政治家
bear,を生む・に耐える
bear responsibility,責任を負う
bear no relation to A,Aと関係がない
bear witness,証言する
unbearable,耐えられない
bear ～ in mind,を心に留める
case,場合・事件・事実・症例
mean,を意味する・しようとする・卑劣な
mean A by B,BによってAを意味・意図する
mean to do,～しようとする
meaning,意味
means,手段・財産
by means of A,Aによって
by no means,決して～でない
by all means,何としても
a means to an end,目的のための手段
beyond one's means,資力以上の
represent,を代表する・を象徴する・を表す
representation,代表・象徴・表現
representative,代表者
assume,を思い込む・引き受ける
assumption,思い込み・引き受けること
posess,を所有する・に取り憑く
posession,所有
observe,を観察する・守る
observation,観察
observance,順守
company,会社・仲間・一緒にいること
accompany A,Aに伴う・Aと一緒に行く
firm,固い・会社
firmly,固く
confirm,確かにする
confirmation,確認
affirm,を断言する
enter A,A に入る
entry,入場
entrance,入口・入学
receive,を受け取る
reception,受け取ること・受付
receptive,受け入れる
receipt,レシート
accept,を受け入れる
acceptance,受け入れ
refuse,を拒否する
refusal,拒否
reject,を拒絶する
rejection,拒絶
deny,を否定する
denial,否定
appear,現れる・のように見える
appearance,登場・外見
disappear,消える
exist in A,Aに存在する
existance,存在・生活
expect A to do,Aが～するだろうと思う
expectation,予想
expectancy,見込み
except for A,Aを除いて
exception,例外
exceptional,例外的な・特に優れた
improve,を改良する
improvement,改良
solve,を解く
solution,解決策
suppose,思う
be supposed to do,することになっている
supposition,想定
supposedly,推定では
suggest,を提案する
suggestion,提案
propose doing/to do,～しようと提案する
a proposal to do,～しようという提案
proposition,主張・提案
pretend to do,～するふりをする
pretense,見せかけ
belong,属する
belonging,所持品
fail,失敗する・できない・の役に立たない
failure,失敗
without fail,必ず
enable A to do,Aが～するのを可能にする
prefer A to B,BよりAを好む
preference,好み
preferable,好ましい
marry A,A と結婚する
marriage,結婚
regret,を後悔する
regrettable,残念な
regretful,後悔している
satisfy,を満足させる
satisfaction,満足
satisfactory,満足のいく
disappoint,をがっかりさせる
disappointment,失望
bore,を退屈させる
boring,退屈な
boredom,退屈
amaze,をびっくりさせる
amazing,驚くべき
astonish,をびっくりさせる
astonishing,驚くべき
astonishment,驚き
frighten,を怖がらせる
fright,恐怖
scare,を怖がらせる
scary,怖い
cause,原因・を引き起こす
factor,要因
result,結果
lead,を導く・引き起こす
favor,好意・を好む
favorable,好都合な
favorite,お気に入りの
harm,害・を害する
harmful,有害な
harmless,無害な
risk,危険
risky,危険な
board,板・委員会・に搭乗する
aboard,乗って
rise,上がる・上昇
raise,を上げる・育てる
lie,横たわる・存在する
underlie,の根底にある
lay,を横たえる・置く
lay off,を一時解雇する
exhibit,を展示する・展示品
exhibition,展覧会
convenient,便利な・都合のよい
convenience,便利
comfort,快適さ
comfortable,快適な
correct,正しい・を訂正する
correction,訂正
salary,給料
reputation,評判
rumor,うわさ
duty,義務
opportunity,機会
idle,何もしていない・無用の
calm,落ち着いた・を落ち着かせる
curious,好奇心のある・好奇心をそそる
curiosity,好奇心
cluel,残酷な
cruelty,残酷さ
official,公式の・公務員
enter into,を始める・取り結ぶ
answer A,A に答える
visit A,A を訪れる
be disappointed at A,A に失望する
be amazed at A,A にびっくりする
be amazed to do,～をしてびっくりする
frightful,ぞっとするような
frightening,怖がらせるような
pay,を支払う・割に合う
read,を読む・読める
sell,を売る・売れる
lay out,を設計する
net result,最終結果
sale,販売・売上高
refuse to do,～しようとしない
deny AB/B to A,AにBを与えない
life expectancy,平均寿命
make an exception,例外を設ける
fail in A,Aに失敗する
fail to do,～しない・できない
never fail to do,必ず～する
failure to do,～しないこと
get married to A,Aと結婚する
regret doing,～したことを後悔する
regret to do,残念ながら～する
be satisfied with A,Aに満足する
be disappointed at A,Aに失望する
be bored with A,Aに退屈する
be amazed at A,Aにびっくりする
be astonished at A,Aにびっくりする
"be frightened of(by,at) A",Aにおびえる
be scared of A,Aを恐れる
cause A to do,Aが～する原因となる
result in A,Aという結果となる
result from A,Aから結果として生じる
as a result,その結果
with the result that,その結果～ということになる
lead to A,Aを引き起こす
lead A to B,AをBへと導く
lead A to do,Aに～するよう仕向ける
in favor of A,Aに賛成して
do A a favor,Aに何かをしてあげる
do A harm,Aに害を与える
do harm to A,Aに害を与える
run the risk of doing,～する危険を冒す
at risk,危険にさらされて
take a risk,一か八かやってみる
on board,乗って
on the rise,上昇している
give rise to A,Aを引き起こす
raise money,資金を集める
lie in A,Aの中にいる
in comfort,快適に
be comfortable with A,Aに満足する
Rumor has it that…,～という噂である
on duty,勤務中である
an opportunity to do,～する機会
sit idle,何もしないでいる
be curious about A,Aに好奇心を持っている
relate,を関係づける・話す
relation,関係・親戚
relationship,関係　
relative,相対的な・親戚
relatively,比較的に
relativity,相対性
absolute,絶対的な
absolutely,絶対に
relevant,関連がある
relevance,関連　
irrelevant,関連がない
mutual,相互の
associate,を結びつけて考える・連想する
association,関連・連想・協会
conflict,争い・対立する
collision,衝突
collide,衝突する
friction,摩擦
confront,に直面する
confrontation,直面
be confronted with,に直面している
oppose A,に反対する
be opposed to A,に反対している
opposition,反対
opposite,正反対の
opponent,相手
object,物体・目的・反対する
objection,反対
objective,客観的な
contrary,反対の
on the contrary,それどころか
to the contrary,反対の
contrast,対照
in contrast,対照的に
contradict,に反論する・と矛盾する
contradiction,矛盾
contradictory,矛盾した
approve,に賛成する・を認める
approval,賛成
disapprove,賛成しない
consent,同意する・同意
correspond,一致する・対応する
correspondence,一致・文通
correspondent,一致する・特派員
accord,一致する・を与える
according to,によると・に従って
accordingly,それに応じて
of one´s own accord,自発的に
on one´s own accord,自発的に
in accordance with,に合わせて
conform,に順応する
conformity,順応
compatiable,両立可能な
incompatiable,両立できない
compare,を比較する
comparison,比較　
comparable,匹敵する
comparatively,比較的に
confuse,混同する
confusion,混同　
equal,等しい・するだけの能力がある
equality,平等
equivalent,同等の
resemble A,Aに似ている
resemblance,類似
diverse,多様な
diversity,多様性
differ,異なる
different,異なる
difference,違い
vary,異なる
variation,変化・差異
variety,多様性
variety of,様々な
linguistic,言語の
linguistics,言語学
linguist,言語学者
bilingual,２カ国語使用者
literary,文学の
literature,文学　
literal,文字通りの
literally,文字通り　
literate,読み書きができる
literacy,読み書き能力
illiterate,読み書きができない
letter,手紙・文字
dialogue,対話
monologue,独白
logic,論理
logical,論理的な
apology,謝罪
apologize to A for B,AにBを謝る
eloquent,雄弁な
eloquence,雄弁　
biology,生物学
biological,生物学的な
psychology,心理学
psychological,心理学的な
analogy,類推
verb,動詞
verbal,言葉の
adjective,形容詞
proverb,ことわざ
oral,口頭の
utter,を発する・完全な
utterance,発話
utterly,完全に
refer to A,Aに言及する・参照する
reference,言及・参照
consult A,Aに相談する・Aを参照する
look up,を調べる
mention,に言及する・言及
imply,を暗に意味する
implication,意味・影響
implicit,暗黙の
explicit,明白な
infer,を推察する
inference,推察
interpret,を解釈する
interpretation,解釈
describe,を描写する
description,描写
descriptive,描写の
subscribe to A,Aを定期購読する
subscription,定期購読　
prescribe,を処方する
prescription,処方
manuscript,原稿
criticize,を批判する
criticism,批判
critic,批評家
critical,決定的な・批評の
crisis,危機
opinion,意見
remark,意見・を述べる
remarkable,著しい
comment,意見・を述べる
prose,散文
verse,韻文
poetry,詩
poetic,詩的な
document,文書
narrative,物語
narration,語り
quote,を引用する
quotation,引用
rhetoric,修辞学
metaphor,隠喩
research,研究
investigate,を調査する
investigation,調査
survey,を調査する
inquire,尋ねる・調査する
inquiry,質問・調査
theory,理論
theoretical,理論上の
theoretically,理論上は
method,方法
hypothesis,仮説
experiment,実験
experimental,実験的な
detect,を検出する
detective,探偵・刑事
thesis,学位論文
statistics,統計
statistical,統計上の
analyze,を分析する
analysis,分析
laboratory,研究室
conclude,結論を下す
conclusion,結論
prove,を証明する
prrof,
demonstrate,を実証する
illustrate,を例証する
illustration,例証
estimate,を見積もる
underestimate,を過小評価する
expert,専門家
expertise,専門知識
scholar,学者
scholarship,奨学金
scholastic,学術的な
academic,学問の
specialize,専攻する
geography,地理学
geographic,地理的な
geology,地質学
geological,地質学的な
geometry,幾何学
arithmetic,算数
astronomy,天文学
astrology,占星術
botany,植物学
anthropology,人類学
discuss A,Aを議論する
discussion,議論
agree,賛成する・同意する・一致する
agreeable,感じのいい
agreement,賛成・同意・一致
disagree,意見が合わない
disagreement,意見の相違
argue,を主張する
argument,主張・言い争い
maintain,を維持する・を主張する
maintenance,維持・主張
assert,を主張する
assertion,主張
claim,を要求する・主張する
insist,を主張する
insistent,主張する
insistence,主張
exclaim,と叫ぶ
proclaim,を宣言する
declare,を宣言する
declaration,宣言
announce,を告知する
announcement,告知
exaggerate,を誇張する
exaggeration,誇張
boast,自慢する
controversy,論争
controversial,論争中の
dispute,議論・を議論する
debate,討論
conference,会議
negotiate,交渉する
negotiation,交渉
complain to A about B,AにBについて不満を言う
complaint,不満
grumble,不満を言う
quarrel,口論する
reconcile,和解する・を和解させる
convince,AにBを確信させる
conviction,確信・有罪判決
convincing,説得力のある
persuade A to do [into doing],Aを説得して～させる
persuasion,説得
persuasive,説得力のある
dissuade A from doing,Aにしないように説得する
talk ～ into doing,に説得する
advantage,有利な点
take advantage of,を利用する
disadvantage,不利な点
advantageous,好都合な
privilege,特権
entitle,に権利を与える
qualify,に資格を与える
qualification,資格
require,を必要とする
requirement,要求されるもの
request,要求
call for,を必要とする・迎えに行く
desire,願望
desirable,望ましい
demand,を要求する
demanding,要求の多い
call on,を訪問する要求する
agree with A,(意見・人)に賛成する
agree to A,（提案）に同意する
insist on A's doing,Aが～するべきだと主張する
boast of A,Aを自慢する
negotiate with A,Aと交渉する
complain to A about B,AにBについて不満を述べる
reconcile with A,Aと仲直りする
be entitled to A,Aの権利がある
be qualified for A,Aの資格がある
be required to do,～するよう要求される
have a desire for A,Aが欲しいと強く思う
perspective,ものの見方
inspect,を詳しく調べる
inspection,調査
prospect,見通し
prospective,見込みのある
retrospect,追想
suspect,を疑う・容疑者
suspicious,疑わしい
suspicion,疑惑
speculate,推測する
speculation,推測・投機
spectacle,光景・眼鏡
spectacular,目を見張るような
conspicuous,目立つ
proceed,進む・さらに続けて～する
process,過程・を処理する
procession,行進
procedure,手順・手続き
exceed,を超える
concede,を譲歩する
concession,譲歩
succeed,成功する・のあとを継ぐ
success,成功
successful,成功した
succession,継続
successive,連続する
succcesor,後継者
predict,を予測する
prediction,予測
predictable,予測できる
