create,創り出す
significant,重要な
essential,必要不可欠な
official,公用の
financial,財政の
academic,学問の
aware,気づいて・知って
worth,値する
potential,潜在的な
active,積極的な
digital,デジタル方式の
mobile,可動式の
novel,斬新な・目新しい・小説
plastic,柔軟な・プラスチックの
chemical,化学の・化学的な
necessary,必要な
eventually,結局は
identify,特定する
respect,表す
indicate,指し示す・述べる
attend,出席する
manage,何とか成し遂げる・管理する
maintain,維持する・主張する
maintain,調査をする
replace,とってかわる
sort,分類する
conduct,実施する
associate,結びつけて考える
attempt,試みる・企てる
promote,促進する・昇進する
earn,稼ぐ・得る
unite,団結する・結合する
feed,に食べ物・乳を与える
seek,追い求める
observe,気づく・観察する・遵守する
reveal,明らかにする
estimate,推定する
reflect,反映する
attract,惹きつける
decrease,減少する
ignore,無視する
match,合う
define,定義する
adapt,適応する
contribute,貢献する・一因となる
exchange,交換する・両替する
display,示す
respond,反応する
hide,隠す
doubt,ではないと思う・疑う
remove,取り除く・解雇する
wind,巻く
assume,当然のことと思う・仮定する
relax,くつろぐ
satisfy,満足する
desire,強く望む
succeed,成功する
concept,概念
fashion,流行
device,装置・機器
charge,料金（利用料・手数料）
contrast,対照
colleague,同僚
pain,苦痛・痛み
bill,請求書
content,内容・中身
section,部門
audience,聴衆・観客
surface,表面
crop,作物
topic,話題・トピック
technique,技術
status,地位
option,選択
reward,報酬
race,人種
crime,罪・犯罪
conflict,争い
struggle,闘い
context,状況・背景
debate,討論・論争
fuel,燃料
pollution,汚染・公害
trend,傾向
balance,均衡・バランス
traffic,交通
strategy,戦略
basis,基礎
consequence,結果
aim,目的・目標
ancestor,祖先
gene,遺伝子
track,跡
revolution,革命・回転
progress,進歩
cognitive,認知の
ideal,理想的な
efficient,効率的な
universal,普遍的な
vast,莫大な
extra,追加の・余分の
entire,全体の・全部の
familiar,精通している
obvious,明らかな
moral,道徳の・倫理的な
ordinary,一般の・普通の
equal,等しい
previous,以前の・前の
FALSE,間違った
rare,まれな・珍しい
legal,法律の
independent,独立した
extreme,極端な
actual,実際の・現実の
willing,いとわない
urban,都市の
whereas,するのに対し
predict,予言する
examine,調べる
trust,信頼する
stick,動けなくする
emerge,現れる
vary,様々である
release,放出する
divide,分ける
enable,できるようになる
judge,判断する
rely,頼る
engage,従事させる
shift,変える・移す
adopt,採用する
acquire,得る
expand,拡大する
refuse,拒む
strike,心を打つ
repeat,繰り返す
consume,消費する
confuse,混同する
select,選ぶ・えり抜く
evolve,（徐々に）発展する
convince,納得する・確信する
recall,思い出す
destroy,破壊する
preserve,保存する
organize,準備する・組織する
warn,警告する・伝える
address,対処する
operate,操作する
participate,参加する
surround,取り巻く
flow,流れる
bore,退屈させる・うんざりさせる
complain,不平を言う・苦情を言う
host,主催する
combine,結びつける
extend,伸ばす
appreciate,正当に評価する
target,目標
element,要素・成分
principle,原則・原理
phenomenon,現象
atmosphere,大気・雰囲気
origin,起源
personality,個性・性格
capacity,容量・収容能力
profit,利益
circumstance,状況・事情
manner,作法・方法
threat,脅威
resident,居住者
wealth,富・資源
institution,機関・協会
authority,当局
vote,投票
sight,光景
campaign,運動
fund,基金・資金
web,ウェブ
symbol,象徴
analysis,分析
version,版（本・製品）
perspective,観点・見方
crisis,危機
disaster,災害
lecture,講義・講演
psychology,心理学
gender,性（社会的・文化的）・性別
custom,慣習（社会的な）
court,裁判所・法廷
desert,砂漠・形）人の住まない
soil,土地・土壌
agriculture,農業
fossil,化石
document,公文書・書類
vocabulary,語彙
intelligent,聡明な
conscious,意識して・気づいて
capable,能力がある
accurate,正確な
fundamental,基本的な
artificial,人工の
firm,確固たる
overall,総合的な
rural,田舎の・田園の
military,軍の・軍事の
nuclear,核の・原子力の
biological,生物学上の
constant,絶え間ない
severe,（人・規律・事態・天気など）厳しい
visual,視覚の
enormous,莫大な・巨大な
convenient,便利な・都合のいい
domestic,家庭の・国内の
mass,大規模な・大量の
typical,典型的な
overseas,海外へ
nevertheless,それにもかかわらず
demonstrate,論証する・証明する
behave,振る舞う
educate,教育する
purchase,購入する
recommend,勧める
admit,（しぶしぶ）認める
generate,生み出す
explore,調査する
amaze,びっくりする
tear,引き裂く
settle,解決する
afford,持つ余裕がある
conclude,結論付ける
advertise,宣伝する
encounter,遭遇する
remind,思い出させる
locate,位置する
aid,援助する・助ける
bite,かむ・かみつく
deliver,配達する
perceive,気づく
distinguish,区別する
imply,暗に意味する
handle,処理する・扱う
praise,称賛する
appeal,訴える
insist,強く主張する
compete,競う
rank,位置づける・評価する
deny,否定する
reject,拒否する
intend,意図する
expose,さらす
favor,賛成する
inspire,奮起する
propose,提案する
spell,つづる
breathe,呼吸する
repair,修理する
consist,成る
comment,意見・コメント
instruction,指示
religion,宗教・信条
neighborhood,地域
laboratory,実験室
presence,存在
confidence,自信
harm,害・損害
instrument,器具
category,部類・区分
capital,資本
outcome,結果
notion,概念・観念
review,論評
trait,特性
diversity,多様性
victim,犠牲・被害者
occasion,場合・時・行事
facility,施設・設備
stock,在庫品
conference,会議
humanity,人類
dialect,方言
proportion,割合・部分
tip,助言・秘訣
lawyer,弁護士
stuff,（漠然と）物
comfort,快適な
philosophy,哲学
mammal,哺乳動物
quality,質
landscape,風景
tribe,部族
organ,器官・臓器
trial,試み
norm,規範
code,規範
substance,物質
multiple,多様な
numerous,非常に数の多い
narrow,狭い
widespread,広範囲にわたる
sufficient,十分な
proper,適切な
linguistic,言語の・言語学の
annual,年１回の
contemporary,現代の
contrary,反対の
strict,（規制などが）厳しい
civil,市民の・民間の
odd,奇妙な・奇数の
unknown,不明の
superior,より優れた
sensitive,敏感な・微妙な
violent,激しい
virtual,仮想の・事実上の
regardless,かまわない・無頓着な
immediate,即座の
crucial,重要な
somewhat,いくぶん
interpret,解釈する
translate,翻訳する・変える
concentrate,集中する
request,頼む
criticize,批判する
overcome,克服する
obtain,得る
inform,知らせる
ensure,確実にする
announce,発表する・知らせる
grant,（人）に（許可・権利などを）与える
freeze,凍る
oppose,反対する
differ,異なる
hate,ひどく嫌う
emphasize,強調する
employ,雇う
credit,帰する
transform,変える
construct,建設する
arise,生じる
beat,打ち負かす
regret,後悔する
alter,変える
absorb,吸収する・夢中にさせる
disappoint,失望させる
cure,治す・治る
transport,輸送する
rush,急いでいく
hang,掛ける
blame,責める
ban,（法的に）禁止する・締めだす
fascinate,魅了する
recover,回復する
celebrate,祝う・挙行する
manufacture,製造する・でっちあげる
interact,影響しあう
arrange,段取りをつける
adjust,調整をする
confirm,確認する
insight,見識・理解力
innovation,革新
budget,予算
fee,料金
expense,経費
debt,借金・負債
loan,貸付金・融資
duty,義務
alarm,不安・恐れ
emergency,緊急
democracy,民主主義・民主政治
minister,大臣
fellow,仲間・同僚
candidate,候補者
corporation,（大）企業
stereotype,固定観念
route,道筋
disorder,障害・（心身の）不調
depression,憂鬱・不況・低気圧
weapon,兵器・武器
immigration,移民・移住
barrier,障壁
disadvantage,不利・障害・（信用の）損失
mood,気分・雰囲気
motion,動き・動作
routine,決まり切った仕事・いつもの手順
discipline,規律・しつけ
myth,作り話・神話
hypothesis,仮説・憶測
physician,医師・内科医
client,顧客（サービスを買う客）
colony,植民地
statistics,統計・統計学
grain,穀物
ingredient,材料・成分
treasure,宝物・財宝
contract,契約書
welfare,福祉・幸福
prime,主要な・もっとも重要な
curious,好奇心の強い
dramatic,劇的な・演劇の
distinct,明らかに異なる
anxious,心配して・切望して
vital,必要不可欠な
conventional,従来の
abstract,抽象的な
minor,小数の
extraordinary,奇妙な
stable,着実な
flexible,柔軟に
brief,簡潔に
aggressive,積極的な
visible,目に見える
unexpected,予期しない・意外な
ethnic,民族の・人種の
alien,異質の
initial,初めの
exact,正確な
precise,正確な・精密の
latter,後者の
commit,ゆだねる
stimulate,刺激する
enhance,（価値などを）高める・増す
pursue,追求する
react,反応する
disagree,不賛成する
stare,じっとみる
abandon,捨てる・断念する
quit,やめる
capture,とらえる
transfer,移す・乗り換える
bother,悩ます
persuade,説得する
rent,賃借りする・賃貸しする
breed,繁殖する・育てる
invest,投資する・与える
reserve,予約する
trace,たどる
illustrate,説明する
advise,忠告する
convey,伝える・運ぶ
attach,取り付ける
stretch,伸ばす・及ぶ
puzzle,当惑させる
disturb,かき乱す
crash,消灯する・墜落する
cope,うまく処理する
permit,許可する
impress,感動させる・印象を与える
suspect,ではないかと思う
upset,動揺させる
frighten,（人を）怖がらせる
import,輸入する
export,輸出する
investigate,調査する・究明する
monitor,監視する
calculate,計算する・予測する
eliminate,取り除く
ease,軽減する・和らぐ
launch,開始する
sequence,連続
therapy,療法
symptom,症状
incident,出来事・事件
witness,目撃者
sum,金額
burden,負担・（重い）義務
tone,口調・音色・雰囲気
honor,光栄・敬意
award,賞
priority,優先（事項）
logic,論理・道理
minimum,最小限度
exception,例外
clue,手がかり
bond,絆
virus,ウィルス
surgery,（外科）手術・外科
insurance,保険
frame,枠
shelter,避難所
territory,領土
boundary,境界
habitant,習慣
district,地区
conservation,保存・維持
harvest,収穫
predator,捕食動物
trap,わな
trick,こつ・策略・いたずら
fault,責任・誤り
discount,割引
bias,偏見・傾向
cooperation,協力・共同
patent,特許
dialogue,対話・会話
component,構成要素
reputation,評判
verbal,言葉の
internal,内部の
solid,しっかりした
remote,遠く離れた
principal,主要な・資本金の
sophisticated,高性能の・精巧な
equivalent,等しい・相当する
rational,理性的な
relevant,関係がある・適切な
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な
meaningful,意味のある
evil,邪悪な・有害な
extinct,絶滅した・廃止された
random,無作為の
raw,生の・未加工の
rude,無礼な
mere,単なる・ほんの
tropical,熱帯の
forth,前へ・先へ
possess,所有している
dominate,支配する
guarantee,保証する
melt,溶ける
embarrass,恥ずかしい思いをさせる
discourage,（人に）やる気をなくさせる
detect,感知する・気づく
device,捧げる
urge,（強く）促す
lend,貸す
restrict,制限する
isolate,孤立させる
accompany,同行する
exhaust,疲れ果てさせる
annoy,悩ます
endanger,危険にさらす
acknowledge,（事実などを）認める
admire,敬服（感心）する
evaluate,評価する
declare,宣言する
secure,確保する・守る
specialize,専門とする
attribute,（結果などを）帰する
pretend,ふりをする
bury,埋める
reverse,逆転させる
resist,抵抗する
scare,おびえさせる
imitate,まねる
assist,援助する
resemble,似ている
retire,引退する・退職する
neglect,おろそかにする
collapse,崩壊する
reform,改革する
protest,抗議する
owe,借りがある・おかげがある
sustain,持続させる
assign,割り当てる
accomplish,成し遂げる
wisdom,知恵
literacy,読み書きの能力
heritage,遺産
mission,使命・布教
license,免許・許可
elite,エリート
layer,層
motor,モーター
protein,タンパク質
profession,職業・専門職
editor,編集者
agent,仲介人・代理人
globe,地球・世界
haven,避難所・保護区
row,列
sacrifice,犠牲
means,手段
session,集まり
league,連盟
contest,コンテスト・競技
guard,警備員
opponent,（試合・論争などの）相手
glance,ちらっと見ること
divorce,離婚
tissue,組織
liquid,液体
inequality,不平等
prejudice,偏見
justice,公正・正義
guideline,指針・ガイドライン
platform,プラットフォーム
sector,部門・セクション
channel,チャンネル・海峡
glacier,氷河
primate,霊長目の動物
usage,用法・語法
fortune,財産・幸運
correlation,相互関係・相関関係
artistic,芸術的な
literary,文学の
classic,第一級の
liberal,自由主義の・寛大な
concrete,具体的な
slight,わずかな
federal,連邦（政府）の
primitive,原始的な
unfamiliar,不慣れな
subtle,微妙な
plain,明らかな
marine,海の
apparent,明白の
reluctant,気が進まない・いやがる
temporary,一時的な
guilty,罪悪感のある
royal,王の
pure,純粋な
incredible,信じられない
eager,熱望して
adequate,十分な
via,経由で
occupy,評価する
approve,賛成する
remark,述べる
pose,（危険を）引き起こす
yield,もたらす
exhibit,示す・見せる
distribute,分配する
command,命じる
occupy,（空間・時間）を占める
pop,ひょいと動く
pile,積み重ねる
greet,挨拶する
apologize,謝る
frustrate,いらだたせる
relieve,和らげる
derive,由来する・推論する
deserve,値する
peer,じっと見る
defeat,負かす
convert,変える
wed,結婚する
delight,喜ばせる
boost,押し上げる
endure,耐える
correspond,一致する
impose,課す
rescue,救う
resolve,解決する・決意する
register,記録する・登録する
interrupt,中断させる
rid,取り除く・除去する
prohibit,禁止する
compose,構成する
misunderstand,誤解する
punish,罰する
ruin,だめにする・破滅する
defend,防御する
embrace,受け入れる
modify,修正する・緩和する
qualify,資格を与える
passion,情熱・激怒
enthusiasm,熱情・熱意
phase,段階・局面
mode,方式
span,期間
gravity,重力・引力
orbit,軌道
asteroid,小惑星
core,核
soul,精神
nerve,神経・度胸
infection,感染
mall,モール
grocery,食品雑貨
humor,ユーモア
instinct,本能
faith,信頼
courage,勇気
incentive,動機付け
prospect,見込み
obstacle,障害
architecture,建築
stem,茎・幹
illusion,錯覚・思い違い
discrimination,差別
shame,恥
drought,干ばつ
flavor,風味
portion,部分
recipe,調理法
luxury,ぜいたく品
chip,小片・破片
ritual,儀式
sake,ために・の目的で
prefecture,県・府
council,議会（地方）・評議会
administration,管理部・行政・政府
curriculum,教育課程・カリキュラム
precious,貴重な
generous,寛大な
casual,何気ない
optimistic,楽観的な
rough,粗い
unpleasant,不愉快な
Arctic,北極の
ultimate,究極の
deaf,耳が聞こえない
genuine,本物の
manual,体（手）を洗う
mechanical,機械の
instant,即時の
spare,余分の・予備の
immune,免疫を持つ
harsh,厳しい
collective,集団の・共同の
inevitable,避けられない
profound,重大な・難解な
steady,着実な・一定の
mature,成熟した
likewise,同様に
chase,追跡する
sue,告訴する
gaze,じっと見る
slip,滑る
load,積む・に負わせる
overwhelm,圧倒する
wander,歩き回る
float,漂う・浮かぶ
pour,注ぐ・激しく降る
substitute,代わりに使う
pronounce,発言する
shrink,縮む・縮小する
restore,回復する
trigger,引き起こす
grab,つかむ
retain,保持する・覚えている
reproduce,複製する・繁殖する
bob,上下に動く
entertain,楽しませる
interfere,干渉する・介入する
cultivate,養う・耕す
underlie,根底にある
anticipate,予期する
justify,正当化する
regulate,規制する
scan,をスキャンする
classify,分類する
submit,提出する
pause,（一時的に）中止する
lean,傾く
bump,ぶつかる
fold,折りたたむ
hesitate,躊躇する・ためらう
pump,（液体・気体）をポンプで送り込む
mount,据え付ける
exceed,超える
undergo,経験する
confront,立ち向かう
consult,相談する
fulfill,実現させる
privilege,特権・特典
formation,形成
dimension,側面・局面
neuron,ニューロン・神経単位
sensation,感覚
chart,図・グラフ
geography,地理
panel,（専門家の）一団
semester,（２学期制の）学期
workforce,労働人口・総労働力
mill,製造工場
abuse,乱用
vice,（道徳上の）悪
fate,運命
tragedy,悲劇
scenario,（予想される）筋書き・事態
allergy,アレルギー
wound,傷
antibiotic,抗生物質
vaccine,ワクチン
metaphor,隠喩
folk,人々
fare,（乗り物の）料金
transition,移り変わり
maximum,最大限
galaxy,星雲・銀河
mineral,鉱物・ミネラル
skeleton,骨格
counterpart,相当する（もの・人）
stroke,脳卒中
pedestrian,歩行者
trail,（野山などの）小道
ecology,生態学
sibling,きょうだい
ratio,比率
mixture,混合物
charm,魅力
ambition,願望・野望
prominent,卓越した
radical,急進的な
prompt,即座に
informal,形式ばらない・略式の
mutual,相互の
neutral,中立の
alert,警戒して
magnetic,磁気の
polar,極地の
fluent,流ちょうな
external,外部の
passive,受動的な
awful,ひどい
unrelated,無関係の
cruel,残酷の
fake,偽の
vulnerable,（攻撃などに）弱い・もろい
urgent,至急の
spiritual,精神の
modest,謙虚な・適度な
keen,熱心な
nonetheless,それにもかかわらず，それでもなお
negotiate,交渉する
grasp,を把握[理解]する
donate,を寄付する
arrest,を逮捕する
crack,ひびが入る
tap,を軽くたたく
split,を分割する
forecast,を予想[予測]する
exclude,を除外する
overlook,を見落とす；を大目に見る
burst,破裂する
heal,(人・傷など)を治す
forbid,を禁じる
install,をインストールする；設置する
diminish,を減らす；減少する
cite,を引き合いに出す；を引用する
quote,を引用する
dispute,に異議を唱える；(を)議論する
highlight,を目立たせる，強調する
distract,(注意など)をそらす
cheat,をだます；不正をする
foster,をはぐくむ
obey,に従う
bend,を曲げる
deprive,から(権利などを)奪う
govern,(を)統治する，支配する
log,[log onで]ログオンする；を記録する
transmit,を伝える
bully,をいじめる
leap,跳ぶ
astonish,を驚かす
thrill,をぞくぞくさせる；わくわくする
nod,うなずく
bow,おじぎする
blend,を混ぜる
complicate,を複雑にする
pitch,を投げる
persist,続く；固執する
dedicate,をささげる
equip,に備えつける
premise,前提
input,入力(情報)，投入
merit,利点
sympathy,同情
compliment,賛辞
infrastructure,インフラ，基本的施設
ray,光線
distress,苦悩
joint,関節
expedition,遠征(隊)，探検(隊)
adolescent,青年
shade,(日)陰
jury,陪審(員団)
ethic,倫理，道徳
penalty,(刑)罰
faculty,能力，機能；学部
scheme,計画
nutrition,栄養(の摂取)
particle,(微)粒子
molecule,分子
nationality,国籍
poll,世論調査
clinic,診療所，クリニック
dementia,認知症
fatigue,疲労
dilemma,ジレンマ，板ばさみ
queue,(順番を待つ)列
curve,(道路などの)カーブ
narrative,物語，話
fingerprint,指紋
file,ファイル
wilderness,荒野
pesticide,殺虫剤
panic,パニック(状態)
fabric,織物，布(地)
fantasy,空想
fancy,(気まぐれな)好み；空想
virtue,美徳
grateful,感謝している
valid,妥当な
elaborate,入念な；凝った
moderate,適度な
dynamic,活動的な，精力的な
brave,勇敢な
brilliant,すばらしい
tremendous,途方もない．莫大な
oral,口頭の
innocent,無罪の
subsequent,その後の
shallow,浅い
indifferent,無関心な
inferior,より劣った
awkward,気まずい；ぎこちない
obese,肥満した
pregnant,妊娠した
intimate,親密な
medieval,中世の
sacred,神聖な
simultaneously,同時に
versus,[A versus Bで]A対B
proceed,"進む,進行する"
orient,（環境などに）慣らす
surf,（インターネット上の情報など）を見て回る
filter,をろ過する;を取り除く
bind,を縛る
resort,（好ましくない手段に）訴える、頼る
reinforce,を強化する
accumulate,"を蓄積する,集める"
bet,"と確信する,断言する"
advocate,を主張する
constitute,を構成する
undertake,を引き受ける
grip,を握る
dismiss,（意見など）を退ける；を解雇する
fade,薄れる；衰える
conceal,を隠す
chew,噛む
swallow,飲み込む
seal,を密閉する
migrate,移住する
exaggerate,誇張する
accuse,を非難する
vanish,消える
polish,を磨く
wipe,を拭く
sweep,を掃く
mislead,を誤解させる
spoil,を台無しにする
compound,を悪化させる；を混合する
explode,爆発する
disgust,をむかつかせる
commute,通勤[通学]する
decorate,を装飾する
postpone,を延期する
cease,をやめる
compromise,妥協する
elect,を選出する
extract,を取り[搾り]出す
inherit,を受け継ぐ
rear,(人・動物・植物)を育てる
empathy,感情移入，共感
cue,合図
enterprise,企業，事業
output,生産(高)
congress,(米国などの)議会
millennium,千年間，千年紀
mankind,人類
Muslim,イスラム教徒
estate,(動産・不動産などの)財産
landmine,地雷
caution,用心；警告
controversy,論争
consensus,総意；(意見の)一致
retail,小売り
fiber,繊維(質)
scent,(よい)香り
beverage,(水以外の)飲み物，飲料
supplement,栄養補助剤，サプリメント
diabetes,糖尿病
province,州，省
reef,(岩や砂の)礁
microbe,微生物
excess,過剰，超過
gallery,美術館，画廊
fame,名声
deadline,締め切り
undergraduate,学部学生
slavery,奴隷制度
prey,獲物
mess,散らかった状態[物]
recession,不況
retreat,後退，退却
grave,墓
column,コラム
scenery,景色
plot,(小説などの)筋；陰謀
sculpture,彫刻(作品)
tablet,タブレット(型情報端末)
dense,密集した，密度の高い
exotic,外来の
acid,酸性の
bitter,苦い，つらい
sensible,懸命な；実用的な
noble,高貴な；高潔な
vague,漠然とした，あいまいな
parallel,平行[並行]の
tense,張り詰めた，緊張した
vertical,垂直の
indigenous,原産の，先住の
aboriginal,アボリジニの；原生の
seasonal,季節の，季節的な
abundant,豊富な
hybrid,ハイブリッドの
irrelevant,無関係の
ridiculous,ばかげた
fairy,妖精の(ような)
sensory,感覚の
chronic,慢性の
voluntary,自発的な
inclined,傾向がある
infer,を推論する，推測する
esteem,を尊敬する；を見なす
tackle,に取り組む；と（～のことで）話をつける
venture,危険を冒して進む
accelerate,を加速させる，促進する
accustom,（人）を慣れさせる
amuse,をおもしろがらせる，楽しませる
flourish,繁栄する；繁茂する
thrive,繁栄する，うまくいく；繁茂する
nurture,をはぐくむ；を養成する
click,（を）クリックする；をカチッと鳴らす；カチッと音がする
spin,回転する；を回転させる；（糸）を紡ぐ
clip,を切り抜く；を（はさみで）切り取る；をクリップで留める
drag,を引きずる；ぐずぐずする
cast,を投じる；に役を当てる
scatter,をまき散らす；分散する
tempt,を（...する）気にさせる（to do）；を引きつける
withdraw,を引き出す；を撤回する；撤退する
yawn,あくびをする
blink,まばたきする；点滅する；（目）をまたたく
dye,を染める；染まる
spill,をこぼす；こぼれる
irritate,をいらいらさせる；をひりひりさせる
insult,を侮辱する（≒ affront）
enforce,を施行［実施］する；を（～に）強制する（on / upon）
rob,から（金品を）奪う
drain,（液体）を流出させる；（液体が）流れ出る
suspend,を停職［停学，出場停止］にする；を一時的に中断する
drift,漂う；さまよう；を押し流す
forgive,を許す；を免除する
revise,を修正する；を改訂する
recruit,を募る；に新人を補充する
twist,をねじる，ひねる；を歪曲する
crush,を押しつぶす；を弾圧する；を絞り出す
pin,をピンで留める；を突き刺す
uncover,を暴く（⇔ conceal ⇒ 1116）；を 発掘する
exploit,を活用する；を搾取する，につけ込む
implement,を実行［実施］する
integrate,を統合する；融合する
incorporate,を取り入れる；を法人にする；合併する
profile,人物の紹介；横顔；輪郭
appetite,食欲；欲求
impulse,衝動；刺激
script,台本；筆跡
anniversary,（～周年）記念日
pension,年金
temper,気質，気性；機嫌；かんしゃく
cortex,皮質；樹皮
syndrome,症候群；～現象
chamber,（特定の目的の）部屋；議場；〔the ～〕議院
utility,公共事業；公共料金；実用性
cattle,〔集合的に〕牛
herd,（牛などの）群れ；群衆
fluid,流動体，液体
pity,残念なこと；哀れみ
priest,聖職者
acquaintance,知人；面識；知識
offspring,子孫，子；成果
famine,飢饉；（食糧・物資の）ひどい不足
deforestation,森林伐採
jail,刑務所，拘置所（≒ prison）
commodity,商品；有用なもの
format,書式，形式；（本などの）型
recipient,受け取る人；（臓器などの）被提供者
drill,訓練；（反復）練習；ドリル，錐
inability,無能，無力
republic,共和国；共和制
combat,戦闘；対立
debris,（破壊された後の）残骸，瓦礫；がらくた
bug,病原菌（が起こす病気）；虫；盗聴器；（機械・プログラムの）欠陥
fraction,わずか（≒ bit），一部；分数
index,指標；索引；指数
intuition,直観（力），直感
motive,動機
consent,同意，承諾
hierarchy,（社会の）階層制；〔the ～〕支配層
monument,記念碑，遺跡；金字塔
asset,〔通例～s〕資産；価値のあるもの；利点
decent,まずまずの；きちんとした；上品な
competent,有能な；適任の；満足できる
straightforward,単純な；率直な
cosmetic,化粧の，美容の；うわべの
delicate,繊細な；扱いにくい；もろい
interior,室内の；内部の（⇔ exterior 外部の）
transparent,透明な；明快な
aesthetic,美的な；美学の
deliberate,故意の；慎重な
demographic,人口統計学の
prehistoric,有史以前の；旧式な
innate,生まれながらの；固有の
mild,穏やかな；（程度が）軽い
toxic,有毒な；中毒性の
ashamed,恥じて
humble,謙虚な；質素な；身分が低い
peculiar,特有の；特異な
steep,（傾斜が）急な；急激な；法外な
trivial,ささいな，取るに足りない
magnificent,壮大な；見事な
wireless,無線（電信）の，ラジオの
ongoing,継続している，進行中の
assure,に自信を持って言う；を保証する
precede,に先行する；に優先する
revive,を復活させる；復活する
compel,に強いる
blossom,花が咲く（≒ bloom）；発展する
terrify,を怖がらせる；を脅かす
violate,（法律・規則など）に違反する；を侵害する
suppress,を抑える；を抑圧する
deceive,をだます（≒ take in）
manipulate,を（巧みに）操る；を改ざんする
starve,飢える；（～を）渇望する（for）；を飢えさせる
flee,（から）逃げる
whisper,（を）ささやく
yell,叫ぶ，どなる
deposit,を置く；を預ける；を堆積させる
confine,を限定する；〔通例受身形で〕閉じ込められる
swing,を揺らす，振る；揺れる；（行動に）さっと移る
prolong,を長引かせる
depict,を描く
outline,の要点を述べる；の輪郭を描く
shed,を捨て去る；（光など）を放つ；（涙・血）を流す
emit,（光・熱など）を出す，排出する；（信号）を送る
renew,を更新する；（資源）を再生する
utilize,を利用する（≒ make use of）
assert,を主張する
strain,に負担をかける；を緊張させる；を漉す
strive,努力する；争う
dare,あえて［思い切って］...する
boast,を誇る；（を）自慢する
startle,をびっくりさせる（≒ surprise）
offend,の気分を害する；（に）違反する
compute,（を）計算する；コンピューターを使う
assemble,を集める；を組み立てる；集まる
worsen,を悪化させる；悪化する（≒ deteriorate）
flip,を（ぱっと）裏返す；を軽くはじく
rub,（を）こする；（～に）を塗る（on / over）
descend,（を）降りる（⇔ ascend ⇒ 1839）；受け継がれる
compensate,補償する（≒ make up）；に償う
comprise,から成る；を構成する
prevail,普及している；支配的である；（～に）打ち勝つ（over）
quest,探究
dignity,尊厳；威厳
criterion,（判断・評価の）基準
paradox,逆説；矛盾
parliament,（英国などの）議会；国会議員（団）
legislation,法律；立法
